address,ishostedbysuperhost,location_lat,location_lng,name,numberofguests,pricing_rate_amount,pricing_rate_amountformatted,pricing_rate_currency,pricing_ratetype,primaryhost_firstname,primaryhost_hasprofilepic,primaryhost_hosturl,primaryhost_id,primaryhost_languages_0,primaryhost_languages_1,primaryhost_languages_2,primaryhost_languages_3,primaryhost_membersince,primaryhost_responserate,primaryhost_responsetime,primaryhost_smartname,roomtype,stars,primaryhost_about,identity_verified,review_count,identity_verified_1,review_count_1
"Lahore, Punjab, Pakistan",False,31.46271,74.21349,A shared place to live with comfort,2.0,34.0,34.0,USD,nightly,Arslan,1.0,https://www.airbnb.com/users/show/327262080,327262080.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Arslan,Entire place,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.4702,74.43835,a true home away from home,4.0,46.0,46.0,USD,nightly,Shahbaz,1.0,https://www.airbnb.com/users/show/282300108,282300108.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Shahbaz,Private room ,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.5181,74.45743,"A very clean, safe and hygienic friendly space.",6.0,46.0,46.0,USD,nightly,Zainab,1.0,https://www.airbnb.com/users/show/26851113,26851113.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Zainab,Private room ,5.0,I am a visitor. I have no pets and I am a very clean person and just here to explore the beauty of glasgow.  I myself have lend my house on rent back in my country and understand the policies.,True,0,False,0
"Karachi, Sindh, Pakistan",False,24.91791,67.12985,"A VIP PENTHOUSE FOR A BEST LIVING, FOR EVERYONE.",4.0,46.0,46.0,USD,nightly,Farhan,1.0,https://www.airbnb.com/users/show/377194676,377194676.0,Urdu,English,Punjabi,Pashto,Not Available,0.17,a few days or more,Farhan,Private room,5.0,Not Available,True,0,False,0
"Karachi, Sindh, Pakistan",False,24.94403,67.09962,"A114, Block 1, Metroville 3rd, Gulshan-e-Iqbal",4.0,29.0,29.0,USD,nightly,Kamran,1.0,https://www.airbnb.com/users/show/181553728,181553728.0,English,हिन्दी,Punjabi,Pashto,Not Available,0.0,a few days or more,Kamran,Private room,5.0,"Co-operative, friendly and hospitable.",False,0,False,0
"Karachi, Sindh, Pakistan",False,24.85962,67.06297,Abc,4.0,29.0,29.0,USD,nightly,Syed,1.0,https://www.airbnb.com/users/show/373340850,373340850.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Syed,Entire place,5.0,Not Available,True,0,False,0
"Karachi, Sindh, Pakistan",False,24.90311,67.07881,Accommodation in Gulshan-e-Iqbal near Stadium,2.0,51.0,51.0,USD,nightly,Parveen,1.0,https://www.airbnb.com/users/show/221673068,221673068.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,1.0,within a few hours,Parveen,Private room,5.0,"Large spacious portion with 3 bedrooms, dining room and a full kitchen. Newly furnished. Secure, clean and well maintained. Located in the sprawling Gulshan-e-Iqbal, within short distance to major hospitals (Aga Khan Hospital and Liaquat National Hospital), national stadium, several eateries and shopping centres. A gym is located next to the building.

Located above a clinic, on the second floor. Has 1 large master bedroom that has in-suite bathroom, seating area and can accommodate up to 4 floor mattresses. The second bedroom has a king bed and a couch, whereas the the third bedroom has 2 single beds and can accomodate a floor mattress. Kitchen is fully equipped with stove, oven, microwave, refrigerator, and cutlery and crockery. A well lit terrace is also provided with outdoor seating. Bathrooms come with towels, shampoo, conditioner, body wash, and hair dryer(s). Smart TV in 1 room. High speed WiFi internet is available. There is free parking on the street, and secure paid parking can be arranged both on and off premises. A powerful generator is available for electrical outages at no additional cost.

Owners are friendly and hospitable, and prefer families. No smokers. No pets.

This comfortable suite is perfect for families and has everything you need to make you feel like at home.",False,11,True,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.699,73.00938,Adam's Inn,3.0,46.0,46.0,USD,nightly,Jazib,1.0,https://www.airbnb.com/users/show/429361053,429361053.0,Urdu,English,Punjabi,Pashto,Not Available,1.0,within a few hours,Jazib,Entire place,4.73,Not Available,False,22,True,0
"Lahore, Punjab, Pakistan",False,31.36813,74.18956,Adress 08 in Bahria Town,2.0,23.0,23.0,USD,nightly,Taha,1.0,https://www.airbnb.com/users/show/429745943,429745943.0,English,English,Punjabi,Pashto,Not Available,1.0,within an hour,Taha,Entire place,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.52408,74.28987,"Affordable room in center of Lahore, near bus stop",2.0,11.0,11.0,USD,nightly,Amir,1.0,https://www.airbnb.com/users/show/371316182,371316182.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Amir,Private room ,5.0,"Hi I am Amir, By profession I am film maker and have my studio in Lahore

I love to interact with People from different regions and culture.

I also own a tour company in which i provide services for tour in Northern areas of Pakistan.",True,0,False,0
"Karachi, Sindh, Pakistan",False,24.85882,67.06127,Air conditioned rooms for working professionals,1.0,29.0,29.0,USD,nightly,Muhammad,1.0,https://www.airbnb.com/users/show/376491319,376491319.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Muhammad,Private room,5.0,Not Available,False,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.56491,72.83906,Airport Farmhouse,10.0,23.0,23.0,USD,nightly,Usman,1.0,https://www.airbnb.com/users/show/323956731,323956731.0,English,ਪੰਜਾਬੀ,Punjabi,Pashto,Not Available,0.0,a few days or more,Usman,Private room,5.0,"Hey guys sorry was away for an year,now im back! And ready to receive all my guests with zeal and spirit!",False,1,True,0
"Karachi, Sindh, Pakistan",False,24.89604,67.1824,Airport Guest House Near Airport,10.0,23.0,23.0,USD,nightly,Airport Guest House,1.0,https://www.airbnb.com/users/show/372147783,372147783.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Airport Guest House,Private room,5.0,Not Available,False,0,False,0
"Rawalpindi, Punjab, Pakistan",False,33.539,72.856,Airport Lodges-New Islamabad International Airport,2.0,34.0,34.0,USD,nightly,Airport,1.0,https://www.airbnb.com/users/show/437795095,437795095.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Airport,Entire place,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.52049,74.34184,Al Burhan Express Hotel  Lahore,4.0,46.0,46.0,USD,nightly,Zaheer,1.0,https://www.airbnb.com/users/show/269312218,269312218.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Zaheer,Private room ,5.0,Not Available,False,1,True,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.69882,73.00815,"Al mustafa towers
2 Bed Furnished",4.0,66.0,66.0,USD,nightly,Nasim,1.0,https://www.airbnb.com/users/show/339564319,339564319.0,Urdu,English,Punjabi,Pashto,Not Available,0.75,within a few hours,Nasim,Entire place,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.56432,74.32782,Al Safina Hotel,2.0,22.0,22.0,USD,nightly,Tabaruk,1.0,https://www.airbnb.com/users/show/393731542,393731542.0,Urdu,English,Punjabi,Pashto,Not Available,0.75,within a day,Tabaruk,Private room ,5.0,Not Available,True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.69881,72.97242,AL SYED LODGES FOR FAMILIES AND TRAVELERS ONLY,5.0,55.0,55.0,USD,nightly,Syed Mujtaba,1.0,https://www.airbnb.com/users/show/420410227,420410227.0,English,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Syed Mujtaba,Entire place,5.0,Not Available,False,7,True,0
"Lahore, Punjab, Pakistan",False,31.4683,74.29967,Al-Warda Hotel,16.0,34.0,34.0,USD,nightly,Irfan,1.0,https://www.airbnb.com/users/show/340058092,340058092.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Irfan,Private room ,5.0,Not Available,False,0,False,0
"Karachi, Sindh, Pakistan",False,24.80931,67.0176,all-rounder safe and convenient AirBnB.,4.0,29.0,29.0,USD,nightly,Faraz,1.0,https://www.airbnb.com/users/show/375569301,375569301.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Faraz,Private room,5.0,Not Available,True,0,False,0
"Karachi, Sindh, Pakistan",False,24.82149,67.10282,Aman Orchid Tower,2.0,33.0,33.0,USD,nightly,Touqeer,1.0,https://www.airbnb.com/users/show/267520312,267520312.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Touqeer,Shared room,5.0,"Resident In Defence Karachi 
Daily/Monthly Basis",False,0,False,0
"Lahore, Punjab, Pakistan",False,31.45942,74.48687,Amazing 1 Bedroom with full bathroom and secure Parking available. Super Clean and dustfree environment.,3.0,32.0,32.0,USD,nightly,Hashir,1.0,https://www.airbnb.com/users/show/301773146,301773146.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Hashir,Private room ,5.0,I am an electrical engineer and work full time. Would love to welcome guests (:,False,0,False,0
"Karachi, Sindh, Pakistan",False,24.8214,67.06625,Ambassador House (Furnished House In Defence Khi),12.0,68.0,68.0,USD,nightly,Mohammad,1.0,https://www.airbnb.com/users/show/128832346,128832346.0,Urdu,English,Punjabi,Pashto,Not Available,0.7,within a day,Mohammad,Entire place,4.33,I've a guest houses chain called Embassy Lodge in Sharah Faisal. I run two guest houses in Karachi under this chain and a property for Air Bnb purposes (3 bedroom house) in Defence.,False,5,True,0
"Lahore, Punjab, Pakistan",False,31.35548,74.24868,An uper floor of a big Villa at a prestegious locality. newly constructed.,4.0,33.0,33.0,USD,nightly,Shahid,1.0,https://www.airbnb.com/users/show/398726397,398726397.0,العربية,English,हिन्दी,ਪੰਜਾਬੀ,Not Available,0.13,a few days or more,Shahid,Entire place,5.0,Not Available,True,0,False,0
"Karachi, Sindh, Pakistan",False,24.84387,67.08305,Apartment,2.0,46.0,46.0,USD,nightly,Faysal,1.0,https://www.airbnb.com/users/show/185409610,185409610.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Faysal,Private room,5.0,"I am a working professional. I work from 9am to 6pm.  I live alone in a 2bhk apartment. Looking for short stay or long stay guests. 
1 bed room with attach washroom balcony
Separate store is also available
Tv wifi 24x7 available
All kitchen accessories like fridge micro stove is available
Hot and cold water available
Just looking for nice guests
100% privacy
females are also welcome",False,1,True,0
"Islamabad, Islamabad Capital Territory, Pakistan",True,33.697,72.981,Apartment 2 Bed Parking Netflix WiFi UhdTv Kitchen,5.0,57.0,57.0,USD,nightly,Murtaza,1.0,https://www.airbnb.com/users/show/373634491,373634491.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,1.0,within an hour,Murtaza,Entire place,4.94,"I have studied hotel management and had been working in this industry since 2014 in Pakistan. I have tried my best to utilize all my experience so that i can provide you the best possible Airbnb services here in Islamabad.
Hospitality, safety, cleanliness and commitments would never be compromised from my side.",False,150,True,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.69941,73.01075,"Apartment 2 BR Lounge Kitchen 55""smart TV wifi AC.",4.0,57.0,57.0,USD,nightly,Omer,1.0,https://www.airbnb.com/users/show/436577974,436577974.0,Urdu,English,Punjabi,Pashto,Not Available,1.0,within an hour,Omer,Entire place,5.0,Not Available,False,2,True,0
"Karachi, Sindh, Pakistan",False,24.78892,67.06318,Apartment 3rd floor,2.0,57.0,57.0,USD,nightly,Abeer,1.0,https://www.airbnb.com/users/show/49586435,49586435.0,English,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Abeer,Entire place,5.0,"Easy going, laid back. Chill",False,1,True,0
"Karachi, Sindh, Pakistan",False,24.83077,67.06843,apartment room,2.0,21.0,21.0,USD,nightly,Awais,1.0,https://www.airbnb.com/users/show/162400681,162400681.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Awais,Private room,5.0,Not Available,True,0,False,0
"Karachi, Sindh, Pakistan",False,24.78899,67.06428,Appartment 3rd floor,2.0,68.0,68.0,USD,nightly,Abeer,1.0,https://www.airbnb.com/users/show/49586435,49586435.0,English,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Abeer,Entire place,5.0,"Easy going, laid back. Chill",False,1,True,0
"Karachi, Sindh, Pakistan",False,24.83427,67.02639,Apple Karachi Guest House,2.0,31.0,31.0,USD,nightly,Attiq,1.0,https://www.airbnb.com/users/show/217799104,217799104.0,English,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Attiq,Private room,5.0,One Of our top picks in Karachi - and guest favourite.,False,5,True,0
"Karachi, Sindh, Pakistan",False,24.86189,67.06837,Arika apartment,4.0,60.0,60.0,USD,nightly,Nisar,1.0,https://www.airbnb.com/users/show/217074971,217074971.0,Urdu,English,Punjabi,Pashto,Not Available,0.33,a few days or more,Nisar,Entire place,5.0,Not Available,False,0,False,0
"Lahore, Punjab, Pakistan",False,31.47256,74.32949,Asad's Place,3.0,14.0,14.0,USD,nightly,Asad,1.0,https://www.airbnb.com/users/show/193850525,193850525.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Asad,Private room ,5.0,Not Available,True,0,False,0
"Karachi, Sindh, Pakistan",False,24.86677,67.06476,Asaish Inn Guest House,16.0,34.0,34.0,USD,nightly,Asadullah,1.0,https://www.airbnb.com/users/show/181106172,181106172.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Asadullah,Private room,5.0,Not Available,True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",True,33.68347,72.98819,Askin Apartments 35-A,3.0,34.0,34.0,USD,nightly,Assaba,1.0,https://www.airbnb.com/users/show/436112181,436112181.0,Urdu,English,Punjabi,Pashto,Not Available,1.0,within a few hours,Assaba,Entire place,4.72,Not Available,False,59,True,0
"Lahore, Punjab, Pakistan",False,31.51964,74.35953,Attractive place near to Market & Doctors Hospital,2.0,34.0,34.0,USD,nightly,Khawaja Javed,1.0,https://www.airbnb.com/users/show/261340625,261340625.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Khawaja Javed,Entire place,5.0,I am a senior citizen just retired. worked overseas almost 46 years in different countries in senior banking positions.,False,2,True,0
"Karachi, Sindh, Pakistan",False,24.83953,67.07351,Awan Residency,7.0,57.0,57.0,USD,nightly,Muhammad,1.0,https://www.airbnb.com/users/show/345642308,345642308.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Muhammad,Entire place,5.0,Not Available,True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",True,33.68991,72.98014,Backpackers Hostel 4 Bed Dormitory,4.0,11.0,11.0,USD,nightly,Haris Ali,1.0,https://www.airbnb.com/users/show/102943954,102943954.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,0.9,within an hour,Haris Ali,Shared room ,4.5,"I am an enterpreneur doing business in tourism industry, if you want to visit Pakistan you can contact me for all kind of details from Visa process to end of tour",False,281,True,0
"Karachi, Sindh, Pakistan",False,24.88947,67.06566,"Bahadurabad, Karachi",16.0,33.0,33.0,USD,nightly,Faisal,1.0,https://www.airbnb.com/users/show/371386418,371386418.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Faisal,Private room,5.0,Not Available,True,0,False,0
"Rawalpindi, Punjab, Pakistan",False,33.56627,73.11602,Bahria Heights Ext 1 Modern Apartment,2.0,47.0,47.0,USD,nightly,Landpedia,1.0,https://www.airbnb.com/users/show/193832504,193832504.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Landpedia,Entire place,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.34755,74.17192,Bahria town Lahore Brand new residence In Ghaznavi,2.0,40.0,40.0,USD,nightly,Hassan,1.0,https://www.airbnb.com/users/show/353691172,353691172.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Hassan,Private room ,5.0,Not Available,True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.7079,73.15828,Bani Gala House (Double Bed) with Parking,2.0,18.0,18.0,USD,nightly,Ehsan,1.0,https://www.airbnb.com/users/show/434053758,434053758.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Ehsan,Private room,5.0,Not Available,True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",True,33.72447,73.07456,"Basic, comfort, private entrance bedroom in F-6",2.0,21.0,21.0,USD,nightly,S,1.0,https://www.airbnb.com/users/show/65392525,65392525.0,English,English,Punjabi,Pashto,Not Available,1.0,within an hour,S,Private room,4.81,.,False,329,True,0
"Karachi, Sindh, Pakistan",False,24.834,67.027,Bath island Houses,2.0,34.0,34.0,USD,nightly,Attiq,1.0,https://www.airbnb.com/users/show/217799104,217799104.0,English,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Attiq,Private room,5.0,One Of our top picks in Karachi - and guest favourite.,False,5,True,0
"Karachi, Sindh, Pakistan",False,24.81402,67.07115,BAWANY LODGE  WAITING FOR YOUR HOSPITALITY,8.0,38.0,38.0,USD,nightly,Muhammad Yaqoob,1.0,https://www.airbnb.com/users/show/96854438,96854438.0,Urdu,English,Punjabi,Pashto,Not Available,0.57,within a day,Muhammad Yaqoob,Private room,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.46788,74.25969,BB's,4.0,51.0,51.0,USD,nightly,Muhammad,1.0,https://www.airbnb.com/users/show/320996128,320996128.0,Urdu,English,Punjabi,Pashto,Not Available,1.0,within an hour,Muhammad,Private room ,5.0,Not Available,True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.61099,73.19922,Beautiful 1 bed service apartment in gulberg green,3.0,46.0,46.0,USD,nightly,Hafeez,1.0,https://www.airbnb.com/users/show/439054895,439054895.0,English,English,Punjabi,Pashto,Not Available,1.0,within an hour,Hafeez,Entire place,5.0,Dr Hafeez medical specialists PIMS hospital Islamabad,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.44527,74.30147,Beautiful 1-Bedroom with Balcony,2.0,15.0,15.0,USD,nightly,Abdul,1.0,https://www.airbnb.com/users/show/423426701,423426701.0,Urdu,English,Punjabi,Pashto,Not Available,0.33,a few days or more,Abdul,Private room ,5.0,Not Available,True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.69793,72.96641,Beautiful 2 bedrooms for stay,4.0,67.0,67.0,USD,nightly,Capital Suites,1.0,https://www.airbnb.com/users/show/419699519,419699519.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Capital Suites,Entire place,5.0,"Its a family apartment building & only family and couples are entertained on daily, weekly and monthly basses, no parties guest are allowed",True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.69803,72.94998,Beautiful 3 bedroom home in Islamabad.,8.0,80.0,80.0,USD,nightly,Obaid,1.0,https://www.airbnb.com/users/show/303487465,303487465.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Obaid,Entire place,4.67,"Hello! A little something about me would make you feel acquainted before staying with me. Im easy to talk to and can communicate in English, Pashto and Urdu. My family has been in the hospitality business for the past 80 years and I’m sure you’d feel like home when you stay with us.",False,3,True,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.66687,73.14951,Beautiful 3 bedroom house with private parking.,6.0,54.0,54.0,USD,nightly,Asiya,1.0,https://www.airbnb.com/users/show/436146201,436146201.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Asiya,Entire place,5.0,Not Available,False,1,True,0
"Lahore, Punjab, Pakistan",False,31.45054,74.27636,Beautiful Accomodations in Heart Of Lahore.,3.0,33.0,33.0,USD,nightly,Fakhar E,1.0,https://www.airbnb.com/users/show/398202955,398202955.0,Urdu,English,Punjabi,Pashto,Not Available,1.0,within an hour,Fakhar E,Private room ,5.0,Not Available,False,1,True,0
"Rawalpindi, Punjab, Pakistan",False,33.52257,73.1102,Beautiful and Classy One Bedroom Apartment,2.0,38.0,38.0,USD,nightly,Naveed,1.0,https://www.airbnb.com/users/show/427348905,427348905.0,Urdu,English,Punjabi,Pashto,Not Available,1.0,within an hour,Naveed,Entire place,4.5,Not Available,False,8,True,0
"Rawalpindi, Punjab, Pakistan",False,33.52563,73.09689,Beautiful and Hygienic Serviced Apartments,4.0,80.0,80.0,USD,nightly,Naveed,1.0,https://www.airbnb.com/users/show/71427485,71427485.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Naveed,Private room,5.0,Not Available,True,0,False,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.70173,72.96722,Beautiful Banglow Rooms for Foreginers and Locals,6.0,57.0,57.0,USD,nightly,Absar,1.0,https://www.airbnb.com/users/show/385815730,385815730.0,English,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Absar,Private room,5.0,Not Available,False,1,True,0
"Lahore, Punjab, Pakistan",False,31.40107,74.20969,Beautiful bunglow in DHA,2.0,46.0,46.0,USD,nightly,Muhammad,1.0,https://www.airbnb.com/users/show/67290223,67290223.0,English,हिन्दी,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Muhammad,Private room ,5.0,I am a business man. Printing and publication is my family business since 1905. Presently I am a chief executive in Iqra Publishers. This is one of largest firm in Pakistan who produce exclusive and innovative diaries for their corporate clients.,True,0,False,0
"Rawalpindi, Punjab, Pakistan",False,33.56734,73.11619,Beautiful Cozy Apartment with Free Parking,2.0,49.0,49.0,USD,nightly,Ahsan,1.0,https://www.airbnb.com/users/show/84627429,84627429.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Ahsan,Entire place,4.25,Not Available,False,4,True,0
"Islamabad, Islamabad Capital Territory, Pakistan",False,33.6975,72.97996,Beautiful fully furnished 2 bedroom Apartment,5.0,51.0,51.0,USD,nightly,Asfandyar,1.0,https://www.airbnb.com/users/show/433957649,433957649.0,English,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Asfandyar,Entire place,5.0,Not Available,False,2,True,0
"Rawalpindi, Punjab, Pakistan",False,33.53351,73.11384,Beautiful Furnished Serviced Apartment Bahria Town,2.0,34.0,34.0,USD,nightly,Naveed,1.0,https://www.airbnb.com/users/show/427348905,427348905.0,Urdu,English,Punjabi,Pashto,Not Available,1.0,within an hour,Naveed,Entire place,3.25,Not Available,False,8,True,0
"Lahore, Punjab, Pakistan",False,31.37748,74.17163,Beautiful house portion separate entrance 2 beds,5.0,55.0,55.0,USD,nightly,Muhammad,1.0,https://www.airbnb.com/users/show/411865665,411865665.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Muhammad,Entire place,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.37107,74.18722,Beautiful One Bedroom Luxury Apartment,3.0,46.0,46.0,USD,nightly,Khalil,1.0,https://www.airbnb.com/users/show/393868232,393868232.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Khalil,Entire place,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.70268,74.01674,Beautiful room for families,2.0,46.0,46.0,USD,nightly,Muhammad Usman,1.0,https://www.airbnb.com/users/show/322999779,322999779.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Muhammad Usman,Private room ,5.0,Not Available,False,0,False,0
"Lahore, Punjab, Pakistan",False,31.38013,74.36085,Beautiful Room with 2 single beds,4.0,57.0,57.0,USD,nightly,Mian,1.0,https://www.airbnb.com/users/show/280562437,280562437.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Mian,Private room ,5.0,Not Available,False,0,False,0
"Karachi, Sindh, Pakistan",False,25.00257,67.12107,Beautiful stay,2.0,11.0,11.0,USD,nightly,Kamran,1.0,https://www.airbnb.com/users/show/387363740,387363740.0,Urdu,English,Punjabi,Pashto,Not Available,0.7,within a day,Kamran,Private room,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.53761,74.37638,BED & BATH,2.0,23.0,23.0,USD,nightly,Nayyer,1.0,https://www.airbnb.com/users/show/171238214,171238214.0,Urdu,English,Punjabi,Pashto,Not Available,0.0,a few days or more,Nayyer,Private room ,5.0,Not Available,False,0,False,0
"Lahore, Punjab, Pakistan",False,31.453,74.227,Bed and sitting room near Daewoo stop with wifi,2.0,19.0,19.0,USD,nightly,Gul Wali,1.0,https://www.airbnb.com/users/show/421725340,421725340.0,Urdu,English,Punjabi,Pashto,Not Available,1.0,within a few hours,Gul Wali,Private room ,5.0,Not Available,False,2,True,0
"Karachi, Sindh, Pakistan",True,24.80469,67.03078,"Bed, Beach, Restaurants and Mall !",3.0,34.0,34.0,USD,nightly,Ali,1.0,https://www.airbnb.com/users/show/359453821,359453821.0,Urdu,English,Punjabi,Pashto,Not Available,1.0,within an hour,Ali,Private room,4.92,Not Available,False,91,True,0
"Karachi, Sindh, Pakistan",False,24.80909,67.04394,Bedroom 1 in a Bungalow in DHA,4.0,55.0,55.0,USD,nightly,Jasmine,1.0,https://www.airbnb.com/users/show/312128344,312128344.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Jasmine,Private room,5.0,Not Available,True,0,False,0
"Lahore, Punjab, Pakistan",False,31.517,74.262,BedRoom only for female,1.0,15.0,15.0,USD,nightly,Zubair,1.0,https://www.airbnb.com/users/show/484391027,484391027.0,English,हिन्दी,ਪੰਜਾਬੀ,Pashto,Not Available,0.6640330788804072,unknown,Zubair,Private room ,5.0,Qureshi,False,0,False,0
"Rawalpindi, Punjab, Pakistan",True,33.56957,73.13789,"Bedroom with dedicated Workspace, attached Bathroom, separate entrance, 20MB WiFi, 100% privacy, and access to Kitchen upon request.",2.0,13.0,13.0,USD,nightly,Hassan Ahmed,1.0,https://www.airbnb.com/users/show/420269750,420269750.0,English,English,Punjabi,Pashto,Not Available,1.0,within an hour,Hassan Ahmed,Private room,4.82,"I am a filmmaker, actor, and multimedia artist based in Islamabad. I have an MPhil degree in Multimedia Arts from National College of Arts, Lahore.

Professionally, I teach film courses to Bachelor in Film & Digital Art students under University for the Creative Arts UK at a college in Islamabad. 

I am always excited to meet new people and exchange travel experiences.",False,17,True,0
"Karachi, Sindh, Pakistan",False,25.02085,67.1298,Belcool is a nice room,2.0,34.0,34.0,USD,nightly,Arbaz,1.0,https://www.airbnb.com/users/show/484910951,484910951.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Arbaz,Private room,5.0,Not Available,False,0,False,0
"Karachi, Sindh, Pakistan",False,24.82751,67.05327,Belmond Resort,10.0,66.0,66.0,USD,nightly,Syed Shan,1.0,https://www.airbnb.com/users/show/330133903,330133903.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Syed Shan,Private room,5.0,Not Available,False,0,False,0
"Karachi, Sindh, Pakistan",False,24.81516,67.01339,Best facilities in low budget In VIP Clifton area,16.0,31.0,31.0,USD,nightly,Nosher,1.0,https://www.airbnb.com/users/show/371732359,371732359.0,Urdu,English,Punjabi,Pashto,Not Available,0.6640330788804072,unknown,Nosher,Private room,5.0,Not Available,True,0,False,0
"Karachi, Sindh, Pakistan",False,24.8351,67.02085,Best fully Furnished Room's for families,2.0,40.0,40.0,USD,nightly,Akhtiar,1.0,https://www.airbnb.com/users/show/207747976,207747976.0,English,हिन्दी,Punjabi,Pashto,Not Available,1.0,within a few hours,Akhtiar,Private room,5.0,I m Akhtiar  Ali from holiday inn guest house we  are  going to promote Pakistan  tourist industry  because our 5000 old traditional  & historical  places here worlds  most peoples love to explore  it  we say  welcome to  all Guest holidays destination 2021,False,1,False,0
