type,name,description
hotel,Hotel Pak Heritage,"Hotel Pak Heritage located at address not available in Lahore, costs Rs5220 per night. Description: On a road lined with office buildings, this relaxed hotel is 6 km from museums and palaces at Lahore Fort, and 4 km from Lahore Junction train station.… MoreSimple rooms feature Wi-Fi access, minifridges and city views. Upgraded rooms have flat-screen TVs. Suites add living areas. Room service is offered 24/7.Amenities include a down-to-earth restaurant, and meeting and event space. A breakfast buffet and parking are available.Check-in time: 12:00Check-out time: 12:00."
hotel,Rajada Hotel,"Rajada Hotel located at Faizabad Rawalpindi, Punjab 44000 in Islamabad, costs Rs6200 per night. Description: Check-in time: 00:00Check-out time: 12:00."
hotel,Mici hotel luxury Apartment's Lahore - Deluxe Apartment,"Mici hotel luxury Apartment's Lahore - Deluxe Apartment located at address not available in Lahore, costs Rs7961 per night. Description: DetailsSet 18 km from Emporium Mall, Mici hotel luxury Apartment's Lahore offers air-conditioned accommodation with a balcony and free WiFi. Housed in a building dating from 2022, this apartment is 32 km from Packages Mall and 33 km from Gaddafi Stadium. This apartment consists of 1 living room, 1 separate bedroom and 1 bathroom with a bath and free toiletries. The well-fitted kitchen features a stovetop, a refrigerator, kitchenware and an oven. Featuring a terrace with a quiet street view, this apartment also provides air conditioning and a flat-screen TV with streaming services. The unit offers 1 bed.Website."
hotel,Royal Swiss Hotel,"Royal Swiss Hotel located at address not available in Lahore, costs Rs29436 per night. Description: Less than a kilometre from Allama Iqba International Airport, this polished hotel with a glass facade is 14 km from the Lahore Zoo and 19 km from Badshahi Mosque.… MoreThe warm, relaxed rooms feature flat-screen TVs and Wi-Fi, plus minifridges, and tea and coffeemaking facilities. Upgraded rooms add whirlpool baths and/or sitting areas. The 1- to 2-bedroom suites provide kitchens, separate living rooms, and access to a private lounge.Dining options include 3 restaurants and a simple cafe. There’s also an outdoor pool, a spa, a gym and a cigar lounge. Breakfast and parking are available.Check-in time: 08:00Check-out time: 11:00."
hotel,AL Waqqas Hotel,"AL Waqqas Hotel located at address not available in Islamabad, costs Rs4600 per night. Description: Check-in time: 14:00Check-out time: 12:00."
hotel,Luxus Grand Hotel,"Luxus Grand Hotel located at address not available in Lahore, costs Rs12648 per night. Description: Set in an elegant colonial-style building in a commercial district, this upscale hotel is 2 km from Lahore train station and 5 km from the 17th-century, sandstone Badshahi Mosque.… MoreThe sophisticated rooms offer glass-enclosed bathrooms, and come with free Wi-Fi, flat-screen TVs and safes, as well as minibars, and tea and coffeemaking facilities. Suites add living areas. There's 24-hour room service.Valet parking is complimentary. Other amenities include a classic international restaurant, an indoor pool and a gym.Check-in time: 14:00Check-out time: 12:00."
hotel,Hotel Deluxe Johar Town Lahore,"Hotel Deluxe Johar Town Lahore located at address not available in Lahore, costs Rs4500 per night. Description: Across the street from a hospital, this unassuming hotel is 7 km from the shops at Amanah Mall, 9 km from Model Town Park and 24 km from Allama Iqbal International Airport.… MoreThe casual rooms provide cable TV and Wi-Fi, in addition to minifridges, air conditioning and en suite wet rooms. Room service is available 24/7.Amenities include breakfast and parking spaces.Check-in time: 13:00Check-out time: 12:00."
hotel,haihong hotel,"haihong hotel located at M2P5+H6G, F-10/4 F 10/4 F-10, Islamabad, Islamabad Capital Territory in Islamabad, costs Rs12648 per night. Description: Great dining options and nearby attractions.."
hotel,"Indigo Heights Hotel and Suites, Lahore","Indigo Heights Hotel and Suites, Lahore located at 3 C3 Noor Jehan Rd, Block C3 Block C 3 Gulberg III, Lahore, Punjab 54660 in Lahore, costs Rs22040 per night. Description: Set in a striking modern tower, this polished hotel is 13 km from both the Badshahi Mosque and Lahore Fort. It's 11 km from Allama Iqbal International Airport.… MoreRefined rooms and suites have Wi-Fi, flat-screen TVs and minibars, as well as tea and coffeemaking facilities.Amenities consist of 2 restaurants, including a rooftop option, a coffee shop and a spa, plus a gym and an outdoor pool. Breakfast and parking are available.Check-in time: 14:00Check-out time: 12:00."
hotel,Savul Inn Guest House - Faisal Town near Islamabad International Airport and Motorway,"Savul Inn Guest House - Faisal Town near Islamabad International Airport and Motorway located at Faisal, Plot 47, Block B, Faisal Town, town, Islamabad, 44000 in Islamabad, costs Rs2924 per night. Description: Located in the heart of the city.."
hotel,Intellectual Suites - Bahria Town Apartments - Two-Bedroom Suite,"Intellectual Suites - Bahria Town Apartments - Two-Bedroom Suite located at address not available in Islamabad, costs Rs9048 per night. Description: DetailsIntellectual Suites - Bahria Town Apartments, a property with a garden, is located in Rawalpindi, 28 km from Shah Faisal Mosque, 8.6 km from Ayūb National Park, as well as 31 km from Lake View Park. This apartment features a tile/marble floor, dining area and kitchenware.All apartments come with Butler/Room Service 24/7.."
hotel,Best Western Premier Hotel Gulberg Lahore,"Best Western Premier Hotel Gulberg Lahore located at 110, B-3 MM Alam Rd, Block B3 Block B 3 Gulberg III, Lahore, Punjab 54000 in Lahore, costs Rs18003 per night. Description: Set in a commercial area, this polished hotel is a 16-minute walk from the Gulberg III sports stadium, 6 km from the Lahore Zoo and 11 km from Allama Iqbal International Airport.… MoreWarm rooms with a traditional vibe have Wi-Fi, smart TVs and in-room safes, along with sitting areas, and tea and coffeemaking facilities. Suites come with separate living areas. Room service is available.Amenities include a cafe, and a restaurant with terrace dining, along with a fitness centre, and an outdoor rooftop pool offering sunloungers and city views. Parking and breakfast are available, and an airport shuttle can be arranged.Check-in time: 14:00Check-out time: 12:00."
hotel,Family Apartments in Islamabad - Apartment with Shower,"Family Apartments in Islamabad - Apartment with Shower located at address not available in Islamabad, costs Rs6902 per night. Description: DetailsFeaturing a garden, terrace and views of mountain, Family Apartments in Islamabad is located in Islamabad, 9.2 km from Shah Faisal Mosque. The air-conditioned accommodation is 22 km from Lake View Park. Boasting a private entrance, this apartment includes 1 living room, 1 separate bedroom and 1 bathroom with a shower and slippers. The apartment's kitchen, which features a refrigerator and an oven, is available for cooking and storing food. The apartment has tiled floors, a seating area with a TV, soundproof walls, a dining area, as well as an electric kettle. The unit has 2 beds.Website."
hotel,Bahriaville B&B (Guest House),"Bahriaville B&B (Guest House) located at House 1559, St 35/3 Bahria Ave, Phase 7 Bahria Town, Rawalpindi, Islamabad, Islamabad Capital Territory 46000 in Islamabad, costs Rs3620 per night. Description: Check-in time: 18:00Check-out time: 10:00."
hotel,Hotel Sheriton1,"Hotel Sheriton1 located at 623 R/3 Shadiwal Road, Block R3 Block R 3 Phase 2 Johar Town, Lahore, Punjab 54000 in Lahore, costs Rs12427 per night. Description: InternetWi-FifreeServicesFront desk24-hourFull-service laundryParking & transportParkingfreeTransferLocal shuttle."
hotel,Grand Arham Hotel Faizabad,"Grand Arham Hotel Faizabad located at address not available in Islamabad, costs Rs1584 per night. Description: InternetWi-FifreeServicesFront desk24-hourFull-service laundryParking & transportParkingfreeTransferLocal shuttle."
hotel,Carlton Tower Hotel Lahore,"Carlton Tower Hotel Lahore located at address not available in Lahore, costs Rs10440 per night. Description: In a residential area, this unassuming hotel is a kilometer from Lahore Junction train station, 4 km from the 17th-century Badshahi Mosque and 17 km from Allama Iqbal International Airport.… MoreThe casual rooms come with complimentary Wi-Fi, flat-screen TVs, and tea and coffeemaking facilities. Room service is available.Complimentary valet parking is available. Amenities include a simple restaurant, a bar and BBQ facilities.Check-in time: 07:00Check-out time: 12:00."
hotel,Travelodge Guesthouse,"Travelodge Guesthouse located at address not available in Islamabad, costs Rs10892 per night. Description: Check-in time: 14:00Check-out time: 12:00."
hotel,Palm Tree Hotel & Luxury Suites - Gulberg 3,"Palm Tree Hotel & Luxury Suites - Gulberg 3 located at 31, Block C3 Gulberg III, Lahore, 54000 in Lahore, costs Rs10286 per night. Description: Family-friendly environment with modern facilities.."
hotel,Al Azhar Hotel Room,"Al Azhar Hotel Room located at Band Rd, Shera Kot, Lahore, Punjab 54000 in Lahore, costs Rs1904 per night. Description: Located in the heart of the city.."
hotel,"GB Lodges (G-13 Branch), Islamabad","GB Lodges (G-13 Branch), Islamabad located at address not available in Islamabad, costs Rs9802 per night. Description: Check-in time: 14:00Check-out time: 11:00."
hotel,Faletti’s Grand Hotel MM Alam Road,"Faletti’s Grand Hotel MM Alam Road located at 41-L Javed Iqbal St, L, Lahore, 54000 in Lahore, costs Rs16239 per night. Description: Great dining options and nearby attractions.."
hotel,Grand Peace House II,"Grand Peace House II located at House # 3, Street # 14 Kohsar Rd, Sector F 7/2 F-7, Islamabad, Islamabad Capital Territory 44000 in Islamabad, costs Rs12870 per night. Description: This relaxed guesthouse in a business district is 2 km from Japanese Children's Park, 3 km from Faisal Mosque and 10 km from Islamabad railway station.… MoreThe 8 warmly furnished rooms feature TVs, minifridges and en suite bathrooms, in addition to ceiling fans, air conditioning and Wi-Fi. Family rooms can sleep up to 4 people.Breakfast, lunch and dinner are served in a cosy dining room. Parking is available. There's also a back-up generator.."
hotel,Al Fateh Hotel,"Al Fateh Hotel located at address not available in Lahore, costs Rs4212 per night. Description: Set in a residential area, this laid-back hotel is 5 km each from Shakir Ali Museum and Gulshan-e-Iqbal Park. It's 23 km from Allama Iqbal Airport.… MoreThe straightforward rooms feature free Wi-Fi and flat-screen TVs, as well as en-suite bathrooms. Upgraded rooms add living areas and sofas,. Room service is available.Amenities include a business centre and guest laundry facilities.Check-in time: 12:00Check-out time: 12:00."
hotel,Hotel Swiss Pearl,"Hotel Swiss Pearl located at Plot 61 , R-1 , M.A, Johar Town, Lahore in Lahore, costs Rs3712 per night. Description: Check-out time: 12:00."
hotel,Orbit Residency,"Orbit Residency located at 7 Street 44, F-7/1 F 7/1 F-7, Islamabad, Islamabad Capital Territory in Islamabad, costs Rs10504 per night. Description: Check-in time: 12:00Check-out time: 12:00."
hotel,Hotel Moon light view,"Hotel Moon light view located at address not available in Lahore, costs Rs2902 per night. Description: Check-out time: 12:00."
hotel,City Palace Hotel Lahore,"City Palace Hotel Lahore located at Band Rd, near Hafiz sweets lal kho, Niazi adda Kot Kamboh, Lahore, Punjab 54000 in Lahore, costs Rs2320 per night. Description: Check-out time: 11:00."
hotel,Sigma Lounge,"Sigma Lounge located at 1 Street 59, F-8/4 F 8/4 F-8, Islamabad, Islamabad Capital Territory 44220 in Islamabad, costs Rs14466 per night. Description: Check-out time: 12:00."
hotel,National Hotel Lahore,"National Hotel Lahore located at address not available in Lahore, costs Rs7047 per night. Description: Check-in time: 09:00Check-out time: 13:00."
hotel,Premier cottage Inn,"Premier cottage Inn located at House 1B Street 33, F-7/1 F 7/1 Sector, Islamabad, Islamabad Capital Territory 44000 in Islamabad, costs Rs12648 per night. Description: Affordable luxury with excellent service.."
hotel,Royal Apartments Centaurus,"Royal Apartments Centaurus located at address not available in Islamabad, costs Rs30887 per night. Description: Set in a high-rise above The Centaurus Mall Islamabad, this polished apartment hotel is 3 km from the Pakistan Monument, 7 km from Shakarparian National Park and 34 km from Islamabad International Airport.… MoreFeaturing city views, the elegant 1- to 3-bedroom apartments provide Wi-Fi and smart TVs, along with living rooms and kitchens.Amenities include a gym, an indoor pool and a game room, as well as a spa with a sauna.Check-in time: 12:30Check-out time: 11:00."
hotel,Eden Plus Executive Hotel,"Eden Plus Executive Hotel located at 587 Block Q, near green apple store, Block Q Phase 2 Johar Town, Lahore, Punjab 54782 in Lahore, costs Rs2525 per night. Description: Check-in time: 00:00Check-out time: 12:00."
hotel,HOTEL dGATES,"HOTEL dGATES located at address not available in Lahore, costs Rs15659 per night. Description: Check-in time: 14:00Check-out time: 12:00."
hotel,Hotel Vista Inn,"Hotel Vista Inn located at 234 Rd, 39 Sector F DHA phase 1 Parking face, circular avenue, Commercial Ave, defence bay, Islamabad in Islamabad, costs Rs7199 per night. Description: Check-in time: 11:00Check-out time: 11:00."
hotel,"Royal Palace Hotel, Faisal Town","Royal Palace Hotel, Faisal Town located at House # 68-C, opposite گورمے ریسٹورانٹ, Block C Faisal Town, Lahore, Punjab 54700 in Lahore, costs Rs3497 per night. Description: Check-in time: 12:00."
hotel,City Home International Hotel,"City Home International Hotel located at P27R+374, Kohistan Rd, F-8 Markaz F 8 Markaz F-8, Islamabad, Islamabad Capital Territory 45600 in Islamabad, costs Rs12648 per night. Description: Check-out time: 12:00."
hotel,Lux lounge Guest House,"Lux lounge Guest House located at House # 57 Street 36, F-6/1 F 6/1 F-6, Islamabad, Islamabad Capital Territory 44000 in Islamabad, costs Rs6120 per night. Description: Check-out time: 11:00."
hotel,Hotel Royal Galaxy,"Hotel Royal Galaxy located at House No 44, A/R3, behind Shaukat Khanum Hospital Road, Block R3 Block R 3 Phase 2 Johar Town, Lahore, Punjab 54700 in Lahore, costs Rs2958 per night. Description: On a side street, this unpretentious hotel is a 3-minute walk from Asad Park, 6 km from Amanah Mall, a shopping centre and 25 km from Allama Iqbal International Airport.… MoreThe laid-back rooms provide flat-screen TVs and Wi-Fi, in addition to air conditioning. Upgraded rooms add balconies and sitting areas. Room service is available.Amenities include parking and breakfast.Check-in time: 12:00Check-out time: 11:30."
hotel,The Mall Luxury Guest House,"The Mall Luxury Guest House located at I&T center, Block.24, street 55, Peshawar More, G-9/4 Islamabad, Islamabad Capital Territory 44090 in Islamabad, costs Rs8333 per night. Description: Check-out time: 12:00."
hotel,Premier Inn Gulberg Lahore,"Premier Inn Gulberg Lahore located at address not available in Lahore, costs Rs7308 per night. Description: In a commercial area 2 km from the nearest train station, this unpretentious hotel is 4 km from animal exhibits at the Lahore Zoo and 8 km from Lahore Fort, an elaborate Mughal-era fortress.… MorePolished, individually decorated rooms, some with bright accents, offer Wi-Fi, TVs, and tea and coffeemaking facilities, as well as sitting areas and air conditioning.Limited parking is available.Check-in time: 10:00Check-out time: 12:00."
hotel,Marglla Guest house,"Marglla Guest house located at Street 32, F-6/1 F 6/1 F-6, Islamabad, Islamabad Capital Territory in Islamabad, costs Rs11078 per night. Description: Affordable luxury with excellent service.."
hotel,Welcome Hotel Islamabad,"Welcome Hotel Islamabad located at address not available in Islamabad, costs Rs25430 per night. Description: Check-in time: 14:00Check-out time: 12:00."
hotel,Shelton Boulevard Hotel Lahore,"Shelton Boulevard Hotel Lahore located at 17 Main Nazaria-e-Pakistan Ave, Block K Phase 2 Johar Town, Lahore, Punjab in Lahore, costs Rs8166 per night. Description: Check-out time: 12:00."
hotel,Kulsoom Hotel Islamabad,"Kulsoom Hotel Islamabad located at G-9/4, Peshawar More, plot 35 Street 55, G 9/4 G-9, Islamabad, Islamabad Capital Territory 44000 in Islamabad, costs Rs10101 per night. Description: Check-in time: 00:00Check-out time: 12:00."
hotel,Hotel Marcopolo Lahore,"Hotel Marcopolo Lahore located at address not available in Lahore, costs Rs6901 per night. Description: Check-in time: 00:00Check-out time: 14:00."
hotel,New Hotel Al-Faisal,"New Hotel Al-Faisal located at M36M+CX7, Murree Rd, Faizabad, Rawalpindi, Islamabad, Punjab 46000 in Islamabad, costs Rs4206 per night. Description: Family-friendly environment with modern facilities.."
hotel,Go Guest House Lahore,"Go Guest House Lahore located at J3, near Emporium Mall, J 3 Block Block J 3 Phase 2 Johar Town, Lahore, Punjab 54782 in Lahore, costs Rs4942 per night. Description: Check-out time: 12:00."
hotel,Cecil Murree,"Cecil Murree located at address not available in Islamabad, costs Rs26918 per night. Description: DetailsEnglish,Free Wi-Fi in all rooms!,Internet,Restaurants,Room service,Hand sanitizer,Daily housekeeping,Dry cleaning,Laundry service,Luggage storage,Smoking area,Family room,Front desk [24-hour],Security [24-hour],Car park [free of charge],Rental car ,Website."
hotel,Gillanis Hotel,"Gillanis Hotel located at Montgomery Rd, Montgomery Park Qila Gujjar Singh, Lahore, Punjab 54000 in Lahore, costs Rs2767 per night. Description: Check-out time: 11:00."
hotel,Comfyinn Guest House - Superior Family Room,"Comfyinn Guest House - Superior Family Room located at address not available in Islamabad, costs Rs4001 per night. Description: DetailsComfyinn Guest House features air-conditioned guest accommodation in Islamabad, 10 km from Shah Faisal Mosque, 22 km from Lake View Park and 25 km from Ayūb National Park. This family room offers a hot tub. In the kitchen, guests will find a dishwasher, an oven, a microwave and a tea and coffee maker. This air-conditioned family room is comprised of a flat-screen TV with streaming services and a private bathroom. The unit has 1 bed.Website."
hotel,Prince Hotel - Rawalpindi,"Prince Hotel - Rawalpindi located at Chowk, 6th Road, D Murree Rd, Satellite Town, Rawalpindi, Punjab 46000 in Islamabad, costs Rs12648 per night. Description: Check-in time: 12:00Check-out time: 14:00."
hotel,The Nishat Hotel,"The Nishat Hotel located at address not available in Lahore, costs Rs37468 per night. Description: Set next to a shopping mall, this elegant hotel is 9 km from Gulshan-e-Iqbal Park, 7 km from the Punjab University Museum and 9 km from Kot Lakhpat railway station.… MoreChic rooms include flat-screen TVs and sofas. Suites add living rooms and dining areas.Amenities consist of a refined restaurant, plus a heated indoor pool and a fitness center. Event space is available.Check-in time: 14:00Check-out time: 12:00."
hotel,Guest House,"Guest House located at Clock tower DHA phase 8, Karachi, 75500 in Karachi, costs Rs12648 per night. Description: Check-in time: 12:00Check-out time: 12:00."
hotel,Family Guest House Lahore Near Airport - Superior King Room,"Family Guest House Lahore Near Airport - Superior King Room located at address not available in Lahore, costs Rs2901 per night. Description: DetailsSet in Lahore, within 44 km of Golden Temple and 15 km of Wagah Border, Family Guest House Lahore Near Airport offers accommodation with a terrace as well as free private parking for guests who drive. This double room's special feature is the fireplace. Providing free toiletries, this double room includes a shared bathroom with a bath, a shower and slippers. Meals can be prepared in the well-fitted kitchenette, which comes with a refrigerator, kitchenware and a microwave. Featuring a terrace, this double room also provides air conditioning, a minibar and a flat-screen TV. The unit offers 2 beds.Website."
hotel,"Safari Hotel Jail Road, Lahore","Safari Hotel Jail Road, Lahore located at address not available in Lahore, costs Rs3831 per night. Description: Check-in time: 00:00Check-out time: 12:00."
hotel,Hotel Shahzad International,"Hotel Shahzad International located at M36M+HQV Ak Sakhawat Market, Main Murree Rd, Faizabad Rawalpindi, Islamabad, Punjab 44000 in Islamabad, costs Rs4431 per night. Description: Set on a bustling main road, this straightforward budget hotel with a glass facade is 1 km from a metro station, 4 km from Pakistan Museum of Natural History and 5 km from the flower-shaped Pakistan Monument.… MoreThe unpretentious rooms come with Wi-Fi and flat-screen TVs, as well as air conditioning and en suite wet rooms. Family suites can sleep up to 5 people.Check-in time: 00:00Check-out time: 15:00."
hotel,Hayat palace,"Hayat palace located at House No 51, 1 Bhittai Rd, F-7/1 F 7/1 F-7, Islamabad, Islamabad Capital Territory 44000 in Islamabad, costs Rs12648 per night. Description: Check-in time: 12:00Check-out time: 11:00."
hotel,Cuzzy Inn Hotel,"Cuzzy Inn Hotel located at 28- C, Abdalians Cooperative Housing Society, Lahore, 54000 in Lahore, costs Rs6705 per night. Description: Set off a main road, this unpretentious hotel is 16 km from the Lahore Museum and 21 km from Lahore Fort. Ali Town metro station is 2 km away.… MoreThe warm, down-to-earth rooms provide Wi-Fi and TVs. Upgraded rooms feature balconies with city views. Family rooms can accommodate up to 5 guests. Room service is available.Breakfast and parking are available.Check-in time: 13:00Check-out time: 12:00."
hotel,Bhara Khau guest house,"Bhara Khau guest house located at P5WG+2G6, Barakahu, Islamabad, Islamabad Capital Territory in Islamabad, costs Rs4028 per night. Description: Ideal for short and long stays.."
hotel,Moven Inn,"Moven Inn located at Block no. 07, Street 55 Peshawar Mor Interchange, G-9/4 G 9/4 G-9, Islamabad, Islamabad Capital Territory 44090 in Islamabad, costs Rs5792 per night. Description: InternetWi-FifreeWi-Fi in public areasPublic Internet workstationServicesFront desk24-hourFull-service laundryWellnessNo fitness centreNo spa."
hotel,Mici hotel & apartments,"Mici hotel & apartments located at 64, Lahore, 54000 in Lahore, costs Rs7962 per night. Description: Check-out time: 12:00."
hotel,Star House Islamabad,"Star House Islamabad located at House 12-D, Street 13, F-7/2 F 7/2 F-7, Islamabad, Islamabad Capital Territory 44000 in Islamabad, costs Rs10049 per night. Description: Check-out time: 12:00."
hotel,Smart Apartments,"Smart Apartments located at address not available in Lahore, costs Rs6622 per night. Description: DetailsThose wishing to escape the hustle and bustle of daily routine will find peace and tranquillity at this accomodation. Smart Apartments includes Wi-Fi internet connection in all public areas and guest rooms. The front desk offers 24-hour reception. There is a car park at Smart Apartments.Facilities- 24-hour reception- Multilingual staffRoom facilities (Standard room)- 220V power supply- Bathroom: 1- Desk- ShowerBathroomWebsite."
hotel,OBAN Hotel,"OBAN Hotel located at 81CII, Off, MM Alam Rd, Block C 2 Gulberg III, Lahore, Punjab 54000 in Lahore, costs Rs10900 per night. Description: In a bustling area filled with shops, this informal hotel is 8 minutes' walk from the popular restaurants and malls on MM Alam Road, and 13 km from Allama Iqbal International Airport.… MoreThe casual, warmly decorated rooms provide Wi-Fi, flat-screen TVs and minibars. Suites add sitting areas, and tea and coffeemaking equipment. Some quarters overlook MM Alam Road.Amenities include a relaxed grill restaurant with rooftop terrace seating, as well as a regional cafe that features regular live music. A breakfast buffet and airport shuttle service are also available.Check-in time: 12:00Check-out time: 12:00."
hotel,Cozy Cottage Guest House,"Cozy Cottage Guest House located at 14 Street 40, opposite Jinnah Super Market, F-7/1 F 7/1 F-7, Islamabad, Islamabad Capital Territory 44210 in Islamabad, costs Rs33051 per night. Description: On gated, leafy grounds in a residential area, this relaxed guesthouse is 2 km from Centaurus Mall, 4 km from the Pakistan Monument and 6 km from Shakarparian National Park. The nearest bus stop is 1 km away.… MoreWarm rooms with wood furniture feature air conditioning, flat-screen TVs and en suite wet rooms. Upgraded rooms add sitting areas. Room service is available 24/7/Amenities include Wi-Fi, breakfast, and a kitchen serving Pakistani, Chinese and grilled dishes. Car rental services and parking are available.Check-out time: 12:00."
hotel,Hotel Four Season Inn,"Hotel Four Season Inn located at address not available in Lahore, costs Rs4360 per night. Description: Set across the street from Chenab Block Park, this unfussy hotel is 2 km from the N5 highway, 7 km from Lahore Museum and 10 km from Badshahi Mosque.… MoreWarm, unpretentious rooms feature Wi-Fi, sofas and flat-screen TVs, along with air conditioning, and tea and coffeemaking facilities. Family rooms sleep up to 4 people. Room service is available.Parking is available.Check-in time: 00:00Check-out time: 12:00."
hotel,Savoy Inn,"Savoy Inn located at House No, 14 Street 51, F-7/4 F 7/4 Blue Area, Islamabad, Islamabad Capital Territory in Islamabad, costs Rs11610 per night. Description: On a leafy side street off a main road, this unassuming hotel is 3 km from 7th Avenue train station, and 4 km from both Faisal Mosque and the Pakistan Monument.… MoreRelaxed rooms feature Wi-Fi, TVs and minifridges, plus safes, air conditioning and en suite wet rooms.A breakfast buffet is available. Other meals, including local and international cuisine, are offered 24/7.Check-in time: 00:00Check-out time: 12:00."
hotel,Hilton Suites Gulberg Lahore,"Hilton Suites Gulberg Lahore located at address not available in Lahore, costs Rs37584 per night. Description: This genteel hotel in a bustling area is 5 km from Joyland amusement park, 8 km from the Lahore Zoo and 10 km from Allama Iqbal International Airport.… MorePlush rooms feature sitting areas, minibars and safes; some have fish tanks and/or whirlpool baths. Upgraded rooms and suites add kitchenettes, separate living rooms, terraces and/or private pools. Room service is available.There's a TV lounge. Breakfast, Wi-Fi and airport transfers are also available.Check-in time: 14:00Check-out time: 12:00."
hotel,Hotel Al Hateem Palace,"Hotel Al Hateem Palace located at M36J+QMQ, I.J.P. Road, Faizabad I 8/4 I-8, Islamabad, Islamabad Capital Territory in Islamabad, costs Rs5673 per night. Description: Check-out time: 12:00."
hotel,The Royal Family Couple Guest House,"The Royal Family Couple Guest House located at Plant No _123, Shan Bhatti Rd, Ali Town, Lahore, 87340 in Lahore, costs Rs2297 per night. Description: Check-out time: 12:00."
hotel,Medallion Hotel,"Medallion Hotel located at 31 J3، 4 Abdul Haque Rd, opposite Expo Center Road, J 3 Block Block J 3 Phase 2 Johar Town, Lahore, Punjab 57703 in Lahore, costs Rs2783 per night. Description: Check-out time: 12:00."
hotel,Hotel De Grand Rawalpindi,"Hotel De Grand Rawalpindi located at address not available in Islamabad, costs Rs4950 per night. Description: Set in a shopping district, this unpretentious hotel is a kilometre from Rawalpindi railway station, 4 km from Race Course Park and 6 km from Ayub National Park.… MoreThe down-to-earth rooms feature en suite wet rooms. Some rooms add air conditioning, sitting areas and/or flat-screen TVs. Room service is available.There’s a straightforward sitting area in the lobby.Check-in time: 08:00Check-out time: 12:30."
hotel,Shelton’s Rezidor Lahore,"Shelton’s Rezidor Lahore located at 71-C Main Boulevard Gulberg, Near Siddique Trade Center Lahore Punjab Region, Lahore, 54000 in Lahore, costs Rs9135 per night. Description: Check-out time: 12:00."
hotel,Riwayat Guest House,"Riwayat Guest House located at Block F, B, House 977, Street 42, 17, MPCHS Islamabad, 44000 in Islamabad, costs Rs4680 per night. Description: Located in the heart of the city.."
hotel,MaryLeena Hotel Gulberg,"MaryLeena Hotel Gulberg located at address not available in Lahore, costs Rs5502 per night. Description: Among commercial and residential properties, this casual hotel is a 15-minute walk from Block T Park, 2 km from Lahore Cantt. Railway Station and 3 km from Gaddafi Stadium.… MoreThe warmly furnished rooms provide Wi-Fi, flat-screen TVs, safes and minibars. All feature soundproof windows and sitting areas. Upgraded rooms add whirlpool baths. Room service is available.Amenities include parking and continental breakfast.Check-in time: 10:30Check-out time: 12:00."
hotel,Orchard House,"Orchard House located at address not available in Islamabad, costs Rs11937 per night. Description: Check-in time: 14:00."
hotel,Islamabad Lodges - Guest House,"Islamabad Lodges - Guest House located at House No, 01 Street Number 35, opposite Islamabad Hotel, near Melody Food Street, G-6/1 G 6/2 G-6, Islamabad, Islamabad Capital Territory 44000 in Islamabad, costs Rs7603 per night. Description: Located in the heart of the city.."
hotel,Royal INN Guest House,"Royal INN Guest House located at Mozang Road, Chowk, near Safan Wala, Mozang Chungi, Lahore, 54000 in Lahore, costs Rs2784 per night. Description: A 12-minute walk from the nearest metro station, this humble hotel is 2 km from local history exhibits at the Lahore Museum and 16 km from Allama Iqbal International Airport.… MorePared-back rooms and suites provide TVs. Some come with sitting areas.Amenities consist of a business centre, a vegetarian restaurant and a 24-hour coffee shop, as well as meeting and event space. Airport transfers, breakfast and parking are available, as is Wi-Fi.Check-out time: 12:00."
hotel,Larish Residency,"Larish Residency located at address not available in Islamabad, costs Rs12648 per night. Description: Check-in time: 14:00Check-out time: 12:00."
hotel,Millat Guest House F10/4,"Millat Guest House F10/4 located at Plot No, 19-A Nazim-ud-din Rd, 4 F10 F 10/4 F-10, Islamabad, Islamabad Capital Territory 44000 in Islamabad, costs Rs7000 per night. Description: Check-in time: 14:00Check-out time: 11:00."
hotel,"Pearl Continental Hotel, Lahore","Pearl Continental Hotel, Lahore located at address not available in Lahore, costs Rs30022 per night. Description: In a polished building a block from a sprawling park, this upmarket hotel on a major thoroughfare is 4 km from Lahore Cantonment train station and 7 km from the 16th-century Lahore Fort.… MoreClassic rooms with antique-style furnishings feature free Wi-Fi, flat-screens and minifridges; some have sofas and 4-poster beds. Club rooms include access to a lounge offering complimentary breakfast and drinks. Refined suites add separate living areas; 1 has a washer/dryer and a whirlpool tub. Room service is available.Parking is free. There are 8 eateries ranging from casual to refined. There’s an indoor pool, a hot tub and a sauna, plus a spa, and a gym.Check-in time: 02:00Check-out time: 12:00."
hotel,New Days Inn,"New Days Inn located at address not available in Islamabad, costs Rs13640 per night. Description: This functional guesthouse on a residential tree-lined street is 2 km from Fatima Jinnah Park, and 8 km from both Islamabad railway station and the Faisal Mosque.… MoreUtilitarian rooms with wood-panelled walls feature Wi-Fi, TVs, and tea and coffeemaking equipment, as well as air conditioning and safes. Some rooms can sleep up to 4 guests.Breakfast is available.Check-in time: 00:00Check-out time: 12:00."
